N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.8232611174458381,0.7907895253004077,0.7880621109565804,0.8444040036396724,0.7940164292035338,0.8080376127753518
Model2,500,2,1,0.8341568478398581,0.7392941316244445,0.7691158984282697,0.8558429741323281,0.7585140492540933,0.7891111122181635
Model3,500,3,1,0.8337767642214621,0.733646645636148,0.7621699160963827,0.8554530092291693,0.7527197418440291,0.7819845505977836
Model4,500,1,2,0.8480932471810465,0.7766929452823104,0.7894165154623395,0.8701416872481477,0.7968851445617153,0.8099394977959503
Model5,500,2,2,0.8486000253389079,0.7766118690306167,0.8038018667540068,0.8706616404523593,0.7968019605171789,0.8246988345625081
Model6,500,3,2,0.8544279741543139,0.7731128338741337,0.8030757035631422,0.876641102300793,0.7932119586336328,0.82395379282775
Model7,800,1,2,0.8480932471810465,0.8091598202228957,0.7953906205383802,0.8693617574418302,0.8041984220745243,0.8145544888174369
Model8,800,2,2,0.8589889775750665,0.8372587716965394,0.8116960635049117,0.8805407513323801,0.8330278805408534,0.8312838351497953
Model9,800,3,2,0.8663372608640567,0.8035337278636583,0.824114120512351,0.888860002599766,0.8244237246883992,0.845539159392173
